AI精选ID,AI精选标题,摘要,原始新闻ID,原始新闻标题,来源,URL,爬取时间,AI精选创建时间,AI精选更新时间
94,【投资市场】AI应用产品契合年轻人消费，市场规模或达千亿量级,,1155,【盘中宝】上线即售罄，此前已进行多轮补货，该类AI应用产品契合年轻人“悦己”消费，未来市场规模或达千亿量级，这家企业已推出多款产品,财联社-电报,https://www.cls.cn/detail/2252741,2026-01-09 11:48:34.067595,2026-01-09 12:15:31.796779,2026-01-09 12:15:31.796779
93,【投资市场】A股三大指数午间收涨，沪指时隔10年再破4100点,,1166,A股三大指数午间收盘集体上涨，易点天下涨停,36氪-快讯,https://www.36kr.com/newsflashes/3631636399604997,2026-01-09 11:48:34.071803,2026-01-09 12:15:31.795678,2026-01-09 12:15:31.795678
92,【投资市场】沪深京三市成交额突破2万亿，较前日放量2728亿,,1167,沪深京三市成交额突破2万亿,36氪-快讯,https://www.36kr.com/newsflashes/3631630103790848,2026-01-09 11:48:34.071863,2026-01-09 12:15:31.794593,2026-01-09 12:15:31.794593
91,【国际时局】万斯警告欧洲：要认真对待特朗普格陵兰岛讲话,,1192,万斯警告欧洲：要认真对待特朗普关于格陵兰岛讲话,参考消息,https://ckxxapp.ckxx.net/pages/2026/01/09/7cda01e444434950837371d298796591.html,2026-01-09 11:48:34.077064,2026-01-09 12:15:31.793420,2026-01-09 12:15:31.793420
90,【国际时局】金正恩生日复信普京：无条件支持俄罗斯所有政策,,1200,金正恩生日当天复信普京：无条件支持俄罗斯所有政策,靠谱新闻,https://www.zaobao.com.sg/realtime/world/story20260109-8075070,2026-01-09 11:48:34.079510,2026-01-09 12:15:31.792180,2026-01-09 12:15:31.792180
89,【新能源车】吉利2025年销量破410万辆，新能源渗透率56%,,1115,Geely Hits Record 4.1M Sales in 2025,MK新闻,https://mktnews.net/flashDetail.html?id=019ba0a7-5f23-7444-a86a-7b055540a832,2026-01-09 11:18:34.876235,2026-01-09 12:15:31.790970,2026-01-09 12:15:31.790970
88,【新能源车】鸿蒙智行首款旗舰MPV智界V9，余承东称三年内没对手,,1180,赵长江转发华为余承东微博，称鸿蒙智行首款旗舰 MPV 智界 V9“保守估计三年内没对手”,it之家,https://www.ithome.com/0/911/820.htm,2026-01-09 11:48:34.074916,2026-01-09 12:15:31.789755,2026-01-09 12:15:31.789755
87,【新能源车】比亚迪放大招：海鸥海豚新增激光雷达版本,,1183,海鸥、海豚也有激光雷达！比亚迪放大招，多款在售车型申报新版本,it之家,https://www.ithome.com/0/911/815.htm,2026-01-09 11:48:34.075067,2026-01-09 12:15:31.788641,2026-01-09 12:15:31.788641
86,【数码新品】魅族2026新春会将推魅族22系列神秘新品,,1056,魅族 2026 魅友新春会明天举行：将推出魅族 22 系列神秘产品、PANDAER 新春新品,it之家,https://www.ithome.com/0/911/787.htm,2026-01-09 10:48:50.830097,2026-01-09 12:15:31.787500,2026-01-09 12:15:31.787500
85,【数码新品】JSAUX推出Switch 2便携底座，充电投屏二合一,,1187,几硕 JSAUX 推出 Switch 2 便携底座，充电投屏二合一,it之家,https://www.ithome.com/0/911/811.htm,2026-01-09 11:48:34.075248,2026-01-09 12:15:31.786353,2026-01-09 12:15:31.786353
84,【AI大模型】华为昇腾AI生态突破：400万开发者3000+合作伙伴,,1038,"<b>HUAWEI ANNOUNCES ASCEND AI ECOSYSTEM PROGRESS: OVER 4 MILLION DEVELOPERS, MORE THAN 3,000 PARTNERS</b>",MK新闻,https://mktnews.net/flashDetail.html?id=019ba09f-889b-7444-a86a-4a4c7bd93364,2026-01-09 10:48:50.828790,2026-01-09 12:15:31.785242,2026-01-09 12:15:31.785242
83,【AI大模型】CES2026黑科技：AI机器人叠衣理发，硬件太野了,,1110,AI开始整活：叠衣、理发、当宠物，CES2026这些黑科技硬件太野了,36氪-热榜,https://36kr.com/p/3630729807917570,2026-01-09 11:18:34.875977,2026-01-09 12:15:31.784129,2026-01-09 12:15:31.784129
